id,prompt,expected_keywords
P01,"Define los 5 principales KPIs de un dashboard de 'Comercio Electrónico en Vivo'.","Tasa de Conversión,Ventas,Carritos Abandonados"
P02,"Genera una estructura de 4 pestañas principales para el dashboard.","Visión General,Latencia,Errores"
P03,"Crea una matriz de decisiones para elegir entre Kafka y RabbitMQ para ingesta de datos en tiempo real.","Kafka,RabbitMQ,Latencia,Escalabilidad"
P04,"Estima requisitos de almacenamiento.","GB,TB"
P05,"Redacta un User Story.","Como,quiero,para"
P06,"Sugiere paleta accesible.","#"
P07,"Modelo de datos.","Metrics,Services,Tags"
P08,"Riesgos técnicos.","Desincronización,Kubernetes"
D09,"Diseño de visualización.","gráfico,líneas,umbrales"
D10,"Acciones del usuario.","Filtrar,zoom,pan"
D11,"CSS KPI card.","css,.kpi-card,background"
D12,"Patrón WebSocket.","Singleton"
D13,"Leyenda 5 componentes.","Rojo,Verde,Amarillo,Azul,Púrpura"
D14,"Wireframe header.","Logo,título,selector"
D15,"Microinteracción loading.","Spinner,pulsante"
D16,"Tooltip p99.","p99,99%,peticiones"
B17,"Conexión PostgreSQL.","psycopg2,connect,PostgreSQL"
B18,"SQL promedio 5 minutos.","AVG,SELECT,INTERVAL"
B19,"WebSocket Node init.","WebSocket,Server,port"
B20,"JSON KPI.","kpi_id,value,timestamp"
B21,"Pasos endpoint.","ruta,DB,validar,JSON"
B22,"Lambda simulación.","lambda,handler,random"
B23,"Dockerfile.","FROM,WORKDIR,EXPOSE,CMD"
B24,"Seguridad WS.","JWT,CORS,límite"
F25,"Componente React.","useEffect,WebSocket,useState"
F26,"Chart.js init.","Chart,canvas,data"
F27,"Parseo JSON.","JSON.parse,function"
F28,"Responsividad.","grid,media queries"
F29,"KPI parpadeo.","className,blink"
F30,"Throttle.","throttle,actualización"
F31,"Error WS.","Conexión perdida,reconectar"
F32,"Últimas alertas.","Error,Latencia,Cola"
T33,"Casos de prueba.","UP,DOWN,NO_CHANGE"
T34,"E2E.","cy,injectData,should"
T35,"A/B.","Deployment,Ingress,10/90"
T36,"Métricas frontend.","TTFB,FCP,LCP,CLS"
T37,"Bash curl.","curl,Accept,application/json"
T38,"Rollback.","detener,redirigir,restaurar"
T39,"Commit.","fix,corrige,error"
T40,"Checklist QA.","carga,KPIs,responsive,reconexión"
